Date,Open,High,Low,Close,Volume,Adj Close
1994-08-16,64.50,64.75,63.75,64.625,8140400,11.588229
1994-08-15,63.75,64.50,63.75,64.375,4311200,11.5434
1994-08-12,64.75,65.125,63.75,63.75,8006400,11.431328
1994-08-11,64.00,64.625,63.75,64.625,9782800,11.588229
1994-08-10,64.50,65.00,64.125,64.125,10834400,11.498572
1994-08-09,63.375,64.50,63.25,64.50,12052000,11.565815
1994-08-08,62.75,63.375,62.625,63.25,6706400,11.341671
1994-08-05,62.75,63.125,61.875,62.375,6399600,11.18477
1994-08-04,63.00,63.50,62.75,63.125,8185600,11.319257
1994-08-03,62.375,63.125,62.25,63.00,5416800,11.252013
1994-08-02,63.00,63.375,62.25,62.25,8335200,11.11806
1994-08-01,61.875,63.125,61.50,62.875,7085600,11.229688
1994-07-29,62.625,62.75,61.75,61.875,6775600,11.051084
1994-07-28,62.375,63.00,62.25,62.25,5047200,11.11806
1994-07-27,62.25,62.50,61.875,62.50,5765200,11.162711
1994-07-26,62.50,63.125,62.125,62.375,11587600,11.140386
1994-07-25,61.375,62.375,61.328098,62.25,9368800,11.11806
1994-07-22,62.25,62.50,61.125,61.375,14856800,10.961783
1994-07-21,59.00,62.625,58.00,62.375,35226000,11.140386
1994-07-20,55.75,56.25,54.50,55.875,12757200,9.979464
1994-07-19,56.75,56.875,55.625,55.625,7268800,9.934813
1994-07-18,57.25,57.625,56.625,56.875,6622400,10.158067
1994-07-15,57.75,57.875,56.75,56.875,9913200,10.158067
1994-07-14,57.50,58.50,57.25,58.25,12010800,10.403647
1994-07-13,56.00,56.75,55.875,56.75,9924800,10.135742
1994-07-12,55.75,56.125,54.875,55.875,11974800,9.979464
1994-07-11,56.875,57.125,55.375,55.625,10795600,9.934813
1994-07-08,56.50,57.875,56.50,56.625,9261600,10.113416
1994-07-07,57.375,57.375,56.625,56.75,6871600,10.135742
1994-07-06,56.50,57.00,56.375,57.00,7756400,10.180393
1994-07-05,57.00,57.875,56.25,56.25,11160000,10.04644
1994-07-01,59.00,59.125,56.75,57.00,15272400,10.180393
1994-06-30,60.375,60.50,58.625,58.75,10934000,10.492949
1994-06-29,60.875,61.50,60.125,60.375,9084400,10.783179
1994-06-28,61.50,61.875,60.00,61.125,6945600,10.917132
1994-06-27,59.00,61.625,58.125,61.50,15504000,10.984108
1994-06-24,60.75,61.00,59.50,59.875,9061200,10.693877
1994-06-23,61.875,62.25,60.875,60.875,4617200,10.872481
1994-06-22,61.375,62.125,61.125,62.00,5308000,11.07341
1994-06-21,61.75,62.125,60.375,61.00,9909200,10.894806
1994-06-20,61.875,62.25,61.625,61.625,6236800,11.006433
1994-06-17,62.625,63.125,62.25,62.375,12136400,11.140386
1994-06-16,63.25,63.50,62.875,62.875,5730400,11.229688
1994-06-15,64.50,64.75,63.50,63.75,7157200,11.385966
1994-06-14,63.875,65.00,63.875,65.00,11114400,11.60922
1994-06-13,62.375,64.125,62.25,63.75,8658000,11.385966
1994-06-10,62.25,62.875,62.25,62.625,5299600,11.185037
1994-06-09,61.50,62.125,61.50,62.00,4350800,11.07341
1994-06-08,62.875,63.00,61.50,61.625,6606000,11.006433
1994-06-07,62.75,63.25,62.625,62.625,5596400,11.185037
1994-06-06,61.25,63.50,61.125,62.625,9376800,11.185037
1994-06-03,61.75,61.875,60.75,61.00,9525600,10.894806
1994-06-02,63.375,63.50,61.875,62.00,9921600,11.07341
1994-06-01,63.00,63.625,62.50,63.50,6758400,11.341315
1994-05-31,63.50,63.75,62.75,63.00,6016400,11.252013
1994-05-27,63.875,64.125,63.625,63.625,5446400,11.36364
1994-05-26,63.25,64.125,62.50,64.00,9180000,11.430616
1994-05-25,63.00,64.125,62.50,63.625,14713600,11.36364
1994-05-24,62.00,63.375,61.875,63.125,11203200,11.274338
1994-05-23,62.125,62.50,61.375,61.75,8296400,11.028759
1994-05-20,61.375,62.375,61.00,62.125,14960400,11.095735
1994-05-19,60.875,62.125,60.50,61.375,15087600,10.961783
1994-05-18,61.625,61.875,60.50,60.75,19178400,10.850155
1994-05-17,58.625,61.50,58.625,61.25,21587600,10.939457
1994-05-16,57.625,58.625,57.375,58.50,6392400,10.448298
1994-05-13,57.50,57.875,57.25,57.50,4402000,10.269694
1994-05-12,57.625,57.75,57.00,57.25,3690400,10.225044
1994-05-11,58.00,58.25,57.00,57.25,6186800,10.225044
1994-05-10,57.625,58.25,57.375,58.00,7942400,10.358996
1994-05-09,56.50,57.875,56.50,57.00,7520000,10.180393
1994-05-06,56.50,57.125,56.25,56.50,7917200,10.091091
1994-05-05,57.375,57.50,56.875,57.125,4164400,10.202718
1994-05-04,58.25,58.25,57.50,57.75,6001200,10.269694
1994-05-03,58.125,58.625,57.875,58.375,5506400,10.380838
1994-05-02,57.50,58.375,56.875,58.00,6434000,10.314152
1994-04-29,57.375,57.875,56.875,57.50,7634400,10.225237
1994-04-28,57.875,58.25,56.75,57.125,9190000,10.15855
1994-04-26,58.875,59.25,58.50,58.50,8868800,10.403067
1994-04-25,58.50,59.25,58.25,59.25,12249200,10.53644
1994-04-22,58.375,59.50,58.00,58.75,22642000,10.447525
1994-04-21,55.00,58.625,54.00,58.375,35032400,10.380838
1994-04-20,53.25,53.50,51.75,52.25,8830800,9.291628
1994-04-19,53.50,53.75,51.375,53.375,8376000,9.491687
1994-04-18,52.875,54.125,52.75,53.375,12480000,9.491687
1994-04-15,53.875,54.50,52.625,53.00,10556000,9.425001
1994-04-14,52.50,53.875,52.50,53.875,10512000,9.580602
1994-04-13,52.875,53.375,51.875,52.375,13984400,9.313857
1994-04-12,53.75,53.875,52.50,52.875,7552800,9.402772
1994-04-11,52.625,53.375,52.25,53.00,5209200,9.425001
1994-04-08,52.875,53.125,52.375,52.50,5236400,9.336086
1994-04-07,53.25,53.25,52.25,53.125,7099600,9.44723
1994-04-06,53.50,53.546799,52.75,53.125,7720000,9.44723
1994-04-05,53.50,54.125,53.00,53.375,9356400,9.491687
1994-04-04,53.00,53.50,52.25,53.00,11060000,9.425001
1994-03-31,54.00,54.625,52.00,54.625,13841600,9.713975
1994-03-30,52.50,55.00,52.50,53.50,16530000,9.513916
1994-03-29,53.625,54.375,52.50,52.625,12658800,9.358315
1994-03-28,54.375,54.625,52.50,53.625,13426000,9.536145
1994-03-25,56.50,56.50,53.625,54.00,11934000,9.602831
1994-03-24,56.875,57.125,56.00,56.375,8163600,10.025178
1994-03-23,57.00,57.875,56.625,57.25,10651600,10.180779
1994-03-22,58.00,58.625,57.75,58.25,7397200,10.358609
1994-03-21,56.875,58.875,56.75,58.625,10804000,10.425296
1994-03-18,57.875,58.25,56.75,57.125,13024800,10.15855
1994-03-17,58.25,58.25,57.50,57.875,7576400,10.291923
1994-03-16,57.625,58.25,57.125,58.25,7533600,10.358609
1994-03-15,57.75,58.375,57.375,57.375,9810000,10.203008
1994-03-14,56.125,57.875,55.875,57.50,11664000,10.225237
1994-03-11,56.125,56.25,55.25,55.875,6753200,9.936263
1994-03-10,55.50,56.25,55.125,56.00,12110000,9.958491
1994-03-09,55.00,55.75,54.75,55.375,14960400,9.847348
1994-03-08,52.125,54.875,51.375,54.75,18578000,9.736204
1994-03-07,53.00,53.00,52.125,52.25,7134800,9.291628
1994-03-04,53.25,53.25,52.375,52.625,6886800,9.358315
1994-03-03,52.875,53.375,52.625,52.625,6466000,9.358315
1994-03-02,52.75,53.50,52.125,53.00,10888400,9.425001
1994-03-01,52.875,53.875,52.50,53.625,8139600,9.536145
1994-02-28,53.125,53.25,52.625,52.875,3842800,9.402772
1994-02-25,53.375,53.375,52.625,52.875,4246800,9.402772
1994-02-24,53.25,53.375,52.625,52.875,6611600,9.402772
1994-02-23,53.75,54.25,53.25,53.50,4780800,9.513916
1994-02-22,52.625,53.875,52.625,53.625,5107600,9.536145
1994-02-18,52.625,52.875,52.125,52.625,10714800,9.358315
1994-02-17,54.875,55.00,52.50,52.75,9160800,9.380543
1994-02-16,55.25,55.25,54.50,54.625,5982800,9.713975
1994-02-15,54.375,54.625,54.00,54.50,6909600,9.691746
1994-02-14,53.375,54.625,53.375,54.00,7494800,9.602831
1994-02-11,52.50,53.375,52.00,53.25,7942000,9.469458
1994-02-10,53.375,53.625,52.75,52.875,6262400,9.402772
1994-02-09,53.875,54.25,53.125,53.125,7916400,9.44723
1994-02-08,54.75,54.75,53.375,53.625,8035200,9.536145
1994-02-07,52.375,54.625,52.25,54.25,16475200,9.647289
1994-02-04,55.50,55.625,52.00,52.00,14239600,9.247171
1994-02-03,56.25,56.875,55.75,55.75,7055200,9.869577
1994-02-02,56.50,56.50,55.50,56.375,8612800,9.980222
1994-02-01,56.875,57.375,56.50,56.50,7433600,10.002351
1994-01-31,57.875,57.875,56.50,56.50,8369600,10.002351
1994-01-28,58.125,58.125,57.50,57.75,6175600,10.223642
1994-01-27,56.625,57.50,56.50,57.125,8860800,10.112997
1994-01-26,58.75,58.75,56.00,56.375,16358400,9.980222
1994-01-25,58.875,59.375,55.375,58.25,40618000,10.312159
1994-01-24,55.75,58.75,55.75,58.625,16877200,10.378546
1994-01-21,55.125,55.625,54.75,55.25,12706400,9.78106
1994-01-20,55.875,55.875,55.125,55.25,9114000,9.78106
1994-01-19,56.75,57.00,55.75,56.00,7838000,9.913835
1994-01-18,57.375,57.375,56.375,57.125,9023600,10.112997
1994-01-17,58.50,58.50,57.125,57.50,6112400,10.179384
1994-01-14,58.75,59.50,58.375,58.625,6344000,10.378546
1994-01-13,58.25,59.00,58.25,58.75,7216800,10.400675
1994-01-12,58.75,58.875,58.125,58.125,6012400,10.29003
1994-01-11,59.125,59.375,58.50,58.625,6762400,10.378546
1994-01-10,58.875,59.50,58.50,59.25,6940000,10.489192
1994-01-07,58.50,59.375,58.00,58.875,5834400,10.422804
1994-01-06,60.00,60.00,58.50,58.50,9519200,10.356417
1994-01-05,59.00,59.875,58.50,59.50,10280000,10.53345
1994-01-04,58.125,59.125,58.00,59.00,7387200,10.444933
1994-01-03,56.875,57.75,56.875,57.625,5723200,10.201513
1993-12-31,56.625,57.375,56.375,56.50,7675600,10.002351
1993-12-30,58.00,58.375,56.875,57.00,6651200,10.090868
1993-12-29,58.50,58.75,58.125,58.125,4323600,10.29003
1993-12-28,58.875,59.375,58.25,58.375,5109600,10.334288
1993-12-27,58.625,59.25,58.00,59.125,5646800,10.467062
1993-12-23,59.25,59.375,58.50,58.625,5293200,10.378546
1993-12-22,58.75,59.25,58.50,59.25,6121200,10.489192
1993-12-21,58.25,59.125,58.125,58.625,9089200,10.378546
1993-12-20,59.25,59.375,58.25,58.375,11342000,10.334288
1993-12-17,57.75,59.875,57.75,59.75,23063200,10.577708
1993-12-16,57.25,57.625,57.125,57.50,11811200,10.179384
1993-12-15,56.125,57.625,55.625,56.875,9145200,10.068739
1993-12-14,57.25,57.375,56.00,56.125,9742000,9.935964
1993-12-13,55.875,57.75,55.375,57.375,19524400,10.157255
1993-12-10,54.00,55.50,53.875,55.25,15429600,9.78106
1993-12-09,53.875,54.125,53.25,53.625,5664000,9.493382
1993-12-08,53.875,54.125,53.375,53.875,4004000,9.53764
1993-12-07,54.125,54.25,53.25,53.75,6203600,9.515511
1993-12-06,53.00,54.375,52.75,53.75,7026800,9.515511
1993-12-03,54.00,54.00,53.125,53.50,7038800,9.471253
1993-12-02,53.25,54.125,53.25,53.75,7463200,9.515511
1993-12-01,54.75,54.75,53.125,53.125,9541200,9.404866
1993-11-30,54.50,55.125,53.75,53.875,7907200,9.53764
1993-11-29,56.00,56.125,54.375,54.375,9951600,9.626157
1993-11-26,55.50,56.00,55.125,55.75,4844000,9.869577
1993-11-24,54.00,55.25,53.75,55.125,16736000,9.758931
1993-11-23,52.375,53.25,51.875,53.125,8268800,9.404866
1993-11-22,51.875,52.50,51.625,52.00,10381200,9.205704
1993-11-19,52.25,52.625,51.50,51.875,9326800,9.183575
1993-11-18,52.25,53.125,52.125,52.75,9740400,9.338479
1993-11-17,53.50,54.25,51.875,51.875,17522800,9.183575
1993-11-16,51.125,53.00,50.75,52.75,13556800,9.338479
1993-11-15,51.625,51.625,50.875,51.00,5813600,9.028671
1993-11-12,52.25,52.50,51.50,51.625,12788800,9.139317
1993-11-11,50.25,52.375,50.125,52.00,14733600,9.205704
1993-11-10,49.50,50.125,49.00,49.875,8226800,8.829509
1993-11-09,50.50,50.625,49.00,49.125,10071200,8.696735
1993-11-08,50.25,50.75,50.00,50.25,7523600,8.895897
1993-11-05,49.75,50.125,49.375,49.875,13198400,8.829509
1993-11-04,50.25,50.50,49.375,49.75,12093200,8.80738
1993-11-03,51.00,51.125,50.125,50.75,20897600,8.940154
1993-11-02,49.00,51.125,48.50,50.875,40832400,8.962175
1993-11-01,46.00,48.00,45.75,47.75,15852400,8.411672
1993-10-29,46.00,46.625,45.875,46.00,7646400,8.103391
1993-10-28,45.75,46.375,45.625,45.75,10650000,8.059351
1993-10-27,46.375,46.625,45.75,46.00,17541200,8.103391
1993-10-26,45.75,46.25,44.375,46.25,17407600,8.147431
1993-10-25,43.875,45.00,43.75,44.875,8868800,7.90521
1993-10-22,45.375,45.75,44.375,44.50,10876800,7.83915
